#1, Buffy|Closet Monster (2015)  
$, Claw|"OnCreativity" (2012)  
$, Homo|Nykytaiteen museo (1986)  [Himself]  
$, Homo|Suuri illusioni (1985)  [Guests]  
$, Steve|E.R. Sluts (2003) (V)  
$hutter|Battle of the Sexes (2017)  (as $hutter Boy)  [Bobby Riggs Fan]  
$hutter|NVTION: The Star Nation Rapumentary (2016)  (as $hutter Boy)  [Himself]  
$hutter|Secret in Their Eyes (2015)  (uncredited)  
$hutter|Steve Jobs (2015)  (uncredited)  
$hutter|Straight Outta Compton (2015)  (uncredited)  
$lim, Bee Moe|Fatherhood 101 (2013)  (as Brandon Moore)  
$lim, Bee Moe|For Thy Love 2 (2009)  
$lim, Bee Moe|Night of the Jackals (2009) (V)  
$lim, Bee Moe|"Idle Talk" (2013)  (as Brandon Moore)  
$lim, Bee Moe|"Idle Times" (2012) {(#1.1)}  (as Brandon Moore)  
$lim, Bee Moe|"Idle Times" (2012) {(#1.2)}  (as Brandon Moore)  
$lim, Bee Moe|"Idle Times" (2012) {(#1.3)}  (as Brandon Moore)  
$lim, Bee Moe|"Idle Times" (2012) {(#1.4)}  (as Brandon Moore)  
$lim, Bee Moe|"Idle Times" (2012) {(#1.5)}  (as Brandon Moore)  
$lim, Bee Moe|"Money Power & Respect: The Series" (2010) {Bottom Dollar (#2.7)}  
$lim, Bee Moe|"Money Power & Respect: The Series" (2010) {Flip Side (#2.5)}  
$lim, Bee Moe|"Red River" (2015)  
$lim, Bee Moe|"Red River" (2015) {Under Control (#1.10)}  
$ly, Yung|Town Bizzness Pt 3 (2014) (V)  
$ly, Yung|"From Tha Bottom 2 Tha Top" (2016)  
$ly, Yung|"From Tha Bottom 2 Tha Top" (2016) {T-Pain (#1.2)}  
$torm, Cuntry|From the Woods: The Discovery of LYB (????)  (as Country $torm)  
& Davi, Bruninho|Michel na Balada (2011) (V)  
& Davi, Bruninho|Michel Teló: Sunset (2013) (V)  
& Davi, Bruninho|"Programa da Sabrina" (2014) {(2016-01-23)}  
& Dollar Furado, Caio Corsalette|"Som Brasil" (2007) {Zezé di Camargo & Luciano (#5.7)}  
& Fabiano, César Menotti|Nascemos para Cantar (2010) (TV)  
& Fabiano, César Menotti|Show da Virada (2011) (TV)  
& Fabiano, César Menotti|Teleton 2010 (2010) (TV)  
& Fabiano, César Menotti|"Altas Horas" (2000) {(2013-06-29)}  
& Fabiano, César Menotti|"Altas Horas" (2000) {(2013-12-14)}  
& Fabiano, César Menotti|"Eliana" (2009) {(2012-10-21)}  
& Fabiano, César Menotti|"Tudo É Possível" (2005) {(2008-04-13)}  
& Fabiano, César Menotti|"TV Xuxa" (2005) {(2013-01-05)}  
& Grand Piano Boogie Train, Jaap Dekker|"Barend en Van Dorp" (1990) {(2003-03-17)}  [Themselves - Musicians]  
& Ralph, Christian|"Roberto Carlos Especial" (1974) {(1986-12-30)}  
& The Oriental Groove, Yacine|"Els matins a TV3" (2004) {(#8.192)}  
& Vinícius, João Bosco|Show da Virada (2011) (TV)  
& Vinícius, João Bosco|Teleton 2009 (2009) (TV)  
& Vinícius, João Bosco|Teleton 2012 (2012) (TV)  
& Vinícius, João Bosco|"Eliana" (2009) {(2012-10-28)}  
' Chris Focus' Adolphus, Chris|Virtues of Habit (2016)  
' Danilo' Jurado Jr., Jori|Lapis, Ballpen at Diploma, a True to Life Journey (2014)  [Jaime (young)]  
''El Lobo'' Rubio, Humberto|24° 51' Latitud Norte (2015)  
''El Lobo'' Rubio, Humberto|Episodio de Una Espera (2016)  
'77|"Tria33" (2015) {(#1.196)}  
'77 Big Smoker Pig|"Pop ràpid" (2011) {Here Comes Your Man (#2.10)}  [Themselves]  
'Ariffin, Syaiful|Desire (2014/III)  
'Aruhane|Shaping Bamboo (1979)  
'Atu'ake, Taipaleti|When the Man Went South (2014)  [Two Palms - Ua'i Paame]  
'Avacado' Wolfe, David|The Gift (2010/I)  
'Az-Is' Shearer, Zamien|"Exit" (2014)  
'Az-Is' Shearer, Zamien|"Exit" (2014) {I'm Home (#1.1)}  
'babeepower' Viera, Michael|Little Angel (Angelita) (2015)  [Chico]  
'babeepower' Viera, Michael|Mixing Nia (1998)  
'babeepower' Viera, Michael|Rock Steady (2002)  
